question,answerRegex,expectedDisplay
"Check listening TCP and UDP ports (-tuln).","^ss\s+-tuln$","ss -tuln"
"Display network connections with process names (-tulwnp).","^sudo\s+ss\s+-tulwnp$","sudo ss -tulwnp"
"Show active network interfaces with statistics (-s).","^ip\s+-s\s+link$","ip -s link"
"Renew DHCP lease for interface eth0 (dhclient).","^sudo\s+dhclient\s+eth0$","sudo dhclient eth0"
"List currently mounted filesystems (mount).","^mount$","mount"
"Unmount device mounted at /mnt/usb.","^sudo\s+umount\s+/mnt/usb$","sudo umount /mnt/usb"
"Display partition table for all disks (fdisk -l).","^sudo\s+fdisk\s+-l$","sudo fdisk -l"
"Display file system UUIDs using blkid.","^sudo\s+blkid$","sudo blkid"
"Display disk I/O statistics (iostat).","^iostat$","iostat"
"Show per-CPU usage every 2 seconds (mpstat 2).","^mpstat\s+2$","mpstat 2"
"Display VM statistics (vmstat 1).","^vmstat\s+1$","vmstat 1"
"Check SELinux status (sestatus).","^sestatus$","sestatus"
"Display all environment variables (printenv).","^printenv$","printenv"
"Show kernel version and build info (uname -r).","^uname\s+-r$","uname -r"
"Reboot the system immediately.","^sudo\s+reboot$","sudo reboot"
"Shut down the system now.","^sudo\s+shutdown\s+now$","sudo shutdown now"
"Schedule a shutdown in 10 minutes.","^sudo\s+shutdown\s+\+10$","sudo shutdown +10"
